title,company_profile,description,requirements,benefits,fraudulent
DevOps Engineer,Twitter is a leading technology company.,"We are looking for a talented DevOps Engineer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Full Stack Developer,VMware is a leading technology company.,Join VMware as a Full Stack Developer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Backend Developer,Oracle is a leading technology company.,"We are looking for a talented Backend Developer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Cloud Architect,Apple is a leading technology company.,"We are looking for a talented Cloud Architect to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
HR Manager,Twitter is a leading technology company.,"Twitter is hiring a HR Manager to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Product Designer,Intel is a leading technology company.,"We are looking for a talented Product Designer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
DevOps Engineer,Adobe is a leading technology company.,"Exciting opportunity at Adobe for an experienced DevOps Engineer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Frontend Developer,Adobe is a leading technology company.,Join Adobe as a Frontend Developer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Product Designer,Spotify is a leading technology company.,Join Spotify as a Product Designer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Business Analyst,Airbnb is a leading technology company.,"We are looking for a talented Business Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Business Analyst,McKinsey is a leading technology company.,"We are looking for a talented Business Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Backend Developer,Goldman Sachs is a leading technology company.,"Goldman Sachs is hiring a Backend Developer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Supply Chain Analyst,Netflix is a leading technology company.,"We are looking for a talented Supply Chain Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Account Manager,,"Work from home and make thousands!!! Send your SSN and ID to apply. No interview needed, you're already hired! Just pay a small processing fee of $150 and start earning immediately. Limited spots available!!!",,,1
System Administrator,Google is a leading technology company.,Join Google as a System Administrator. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Marketing Manager,Adobe is a leading technology company.,Join Adobe as a Marketing Manager. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Analyst,Goldman Sachs is a leading technology company.,Join Goldman Sachs as a Data Analyst. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Customer Support Lead,Apple is a leading technology company.,Join Apple as a Customer Support Lead. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Security Analyst,Lyft is a leading technology company.,Join Lyft as a Security Analyst. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Full Stack Developer,Salesforce is a leading technology company.,"We are looking for a talented Full Stack Developer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Database Administrator,VMware is a leading technology company.,"VMware is hiring a Database Administrator to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
HR Manager,Deloitte is a leading technology company.,"Deloitte is hiring a HR Manager to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Home Assistant,,"Make money fast! Easy online job, earn $500/day doing simple tasks. No resume needed. Pay $100 registration fee to start. Provide your banking details for direct deposit setup. Don't miss out!!!",,,1
Account Manager,,"Make money fast! Easy online job, earn $500/day doing simple tasks. No resume needed. Pay $100 registration fee to start. Provide your banking details for direct deposit setup. Don't miss out!!!",,,1
Sales Representative,Deloitte is a leading technology company.,"We are looking for a talented Sales Representative to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Machine Learning Engineer,Lyft is a leading technology company.,"We are looking for a talented Machine Learning Engineer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Security Analyst,Oracle is a leading technology company.,"We are looking for a talented Security Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Sales Representative,Cisco is a leading technology company.,"We are looking for a talented Sales Representative to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Marketing Manager,Adobe is a leading technology company.,"Exciting opportunity at Adobe for an experienced Marketing Manager. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Backend Developer,Adobe is a leading technology company.,Join Adobe as a Backend Developer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Backend Developer,Salesforce is a leading technology company.,"Salesforce is hiring a Backend Developer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Cloud Architect,Salesforce is a leading technology company.,"Exciting opportunity at Salesforce for an experienced Cloud Architect. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Marketing Manager,Deloitte is a leading technology company.,"Exciting opportunity at Deloitte for an experienced Marketing Manager. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Analyst,Netflix is a leading technology company.,"We are looking for a talented Data Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Database Administrator,Apple is a leading technology company.,"We are looking for a talented Database Administrator to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Frontend Developer,Intel is a leading technology company.,"Intel is hiring a Frontend Developer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
DevOps Engineer,LinkedIn is a leading technology company.,Join LinkedIn as a DevOps Engineer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Home Assistant,,Congratulations! You've been selected for a high-paying data entry job. Work only 2 hours a day and earn $8000 monthly. Send upfront fee of $300 for training materials. No experience required. Apply with personal info now!,,,1
UX Researcher,Amazon is a leading technology company.,"Exciting opportunity at Amazon for an experienced UX Researcher. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Backend Developer,VMware is a leading technology company.,"We are looking for a talented Backend Developer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Scrum Master,Lyft is a leading technology company.,"Lyft is hiring a Scrum Master to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Marketing Manager,IBM is a leading technology company.,"We are looking for a talented Marketing Manager to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
QA Engineer,VMware is a leading technology company.,"Exciting opportunity at VMware for an experienced QA Engineer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Database Administrator,Spotify is a leading technology company.,"Spotify is hiring a Database Administrator to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Home Assistant,,"Work from home and make thousands!!! Send your SSN and ID to apply. No interview needed, you're already hired! Just pay a small processing fee of $150 and start earning immediately. Limited spots available!!!",,,1
Software Engineer,VMware is a leading technology company.,Join VMware as a Software Engineer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Technical Writer,VMware is a leading technology company.,Join VMware as a Technical Writer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Graphic Designer,Adobe is a leading technology company.,"Exciting opportunity at Adobe for an experienced Graphic Designer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Analyst,Microsoft is a leading technology company.,"Microsoft is hiring a Data Analyst to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Administrative Assistant,,Congratulations! You've been selected for a high-paying data entry job. Work only 2 hours a day and earn $8000 monthly. Send upfront fee of $300 for training materials. No experience required. Apply with personal info now!,,,1
Project Manager,Apple is a leading technology company.,Join Apple as a Project Manager. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
HR Manager,McKinsey is a leading technology company.,"We are looking for a talented HR Manager to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Home Assistant,,"Make money fast! Easy online job, earn $500/day doing simple tasks. No resume needed. Pay $100 registration fee to start. Provide your banking details for direct deposit setup. Don't miss out!!!",,,1
Administrative Assistant,,"Make money fast! Easy online job, earn $500/day doing simple tasks. No resume needed. Pay $100 registration fee to start. Provide your banking details for direct deposit setup. Don't miss out!!!",,,1
Software Engineer,Airbnb is a leading technology company.,"We are looking for a talented Software Engineer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
